trial_pos,bin,value
0,0,0.5618729193444958
0,1,0.17664945147574762
0,2,0.12374581198524864
0,3,0.13773181719450797
1,0,0.5618729193444958
1,1,0.17664945147574762
1,2,0.12374581198524864
1,3,0.13773181719450797
2,0,0.5887788920078674
2,1,0.1594059435070431
2,2,0.09174917302333487
2,3,0.16006599146175463
3,0,0.5765171436698803
3,1,0.1718337814562285
3,2,0.10389181844041645
3,3,0.14775725643347476
4,0,0.5936794552983228
4,1,0.1528539201413868
4,2,0.10867462628230909
4,3,0.1447919982779814
5,0,0.5936794552983228
5,1,0.1528539201413868
5,2,0.10867462628230909
5,3,0.1447919982779814
6,0,0.5936794552983228
6,1,0.1528539201413868
6,2,0.10867462628230909
6,3,0.1447919982779814
7,0,0.5936794552983228
7,1,0.1528539201413868
7,2,0.10867462628230909
7,3,0.1447919982779814
8,0,0.5592105229144954
8,1,0.1644736832101457
8,2,0.13746537984766904
8,3,0.1388504140276899
9,0,0.6005105465303376
9,1,0.17038926808375726
9,2,0.11805997923360627
9,3,0.11104020615229881
10,0,0.582527383585608
10,1,0.1627982060312039
10,2,0.1099290898616957
10,3,0.14474532052149244
11,0,0.5555176141824453
11,1,0.13153398205079656
11,2,0.13255892423604562
11,3,0.18038947953071255
12,0,0.5678524276793495
12,1,0.15349143689101175
12,2,0.10474308503356024
12,3,0.17391305039607854
13,0,0.6094964062742891
13,1,0.1352517933244365
13,2,0.1271942446806853
13,3,0.1280575557205891
14,0,0.6094964062742891
14,1,0.1352517933244365
14,2,0.1271942446806853
14,3,0.1280575557205891
15,0,0.5936119620243758
15,1,0.1583418292023246
15,2,0.0995582844466478
15,3,0.14848792432665178
16,0,0.5936119620243758
16,1,0.1583418292023246
16,2,0.0995582844466478
16,3,0.14848792432665178
17,0,0.5936119620243758
17,1,0.1583418292023246
17,2,0.0995582844466478
17,3,0.14848792432665178
18,0,0.5838509445848998
18,1,0.141082520241105
18,2,0.12333628294767887
18,3,0.15173025222631634
19,0,0.5494998176927552
19,1,0.15764058221375074
19,2,0.14004828907642558
19,3,0.1528113110170684
20,0,0.5862068970791663
20,1,0.11912226084128523
20,2,0.13235805740421294
20,3,0.16231278467533553
21,0,0.5906943017637476
21,1,0.17339149092098483
21,2,0.1043257027106907
21,3,0.1315885046045769
22,0,0.5784345346342694
22,1,0.17960378768112228
22,2,0.09288730544456698
22,3,0.14907437224004133
23,0,0.5915110530815996
23,1,0.14499149740013145
23,2,0.10899830365524041
23,3,0.15449914586302863
24,0,0.612979158202322
24,1,0.14727638644028404
24,2,0.1065904609237612
24,3,0.1331539944336328
25,0,0.6077872811603764
25,1,0.13896802298991057
25,2,0.11016144783811778
25,3,0.14308324801159528
26,0,0.6077872811603764
26,1,0.13896802298991057
26,2,0.11016144783811778
26,3,0.14308324801159528
27,0,0.5776277944040923
27,1,0.17550626622974827
27,2,0.11796849008150034
27,3,0.12889744928465913
28,0,0.5944487185465569
28,1,0.16268310935272925
28,2,0.11950655859085792
28,3,0.12336161350985587
29,0,0.5973154275602439
29,1,0.16964952402341132
29,2,0.09134973740733028
29,3,0.14168531100901444
30,0,0.5997050176266716
30,1,0.14660766708302353
30,2,0.12153391922272869
30,3,0.13215339606757617
31,0,0.5997050176266716
31,1,0.14660766708302353
31,2,0.12153391922272869
31,3,0.13215339606757617
32,0,0.5997050176266716
32,1,0.14660766708302353
32,2,0.12153391922272869
32,3,0.13215339606757617
33,0,0.5997050176266716
33,1,0.14660766708302353
33,2,0.12153391922272869
33,3,0.13215339606757617
34,0,0.5997050176266716
34,1,0.14660766708302353
34,2,0.12153391922272869
34,3,0.13215339606757617
35,0,0.586617796068026
35,1,0.12251756035567234
35,2,0.13382217349116185
35,3,0.15704247008513983
36,0,0.6040091901115023
36,1,0.14853762686245262
36,2,0.10844562472864731
36,3,0.1390075582973977
37,0,0.6040091901115023
37,1,0.14853762686245262
37,2,0.10844562472864731
37,3,0.1390075582973977
38,0,0.6040091901115023
38,1,0.14853762686245262
38,2,0.10844562472864731
38,3,0.1390075582973977
39,0,0.6040091901115023
39,1,0.14853762686245262
39,2,0.10844562472864731
39,3,0.1390075582973977
40,0,0.6040091901115023
40,1,0.14853762686245262
40,2,0.10844562472864731
40,3,0.1390075582973977
41,0,0.6090785867947537
41,1,0.14972899874130172
41,2,0.09959349811195256
41,3,0.1415989163519921
42,0,0.5707888284965044
42,1,0.16672408201510613
42,2,0.11505339975330839
42,3,0.14743368973508114
43,0,0.6352679982984704
43,1,0.13288931369251958
43,2,0.10941960329601588
43,3,0.12242308471299418
44,0,0.6352679982984704
44,1,0.13288931369251958
44,2,0.10941960329601588
44,3,0.12242308471299418
45,0,0.6352679982984704
45,1,0.13288931369251958
45,2,0.10941960329601588
45,3,0.12242308471299418
46,0,0.6352679982984704
46,1,0.13288931369251958
46,2,0.10941960329601588
46,3,0.12242308471299418
47,0,0.6352679982984704
47,1,0.13288931369251958
47,2,0.10941960329601588
47,3,0.12242308471299418
48,0,0.5670255953397412
48,1,0.15818790027574206
48,2,0.12365393594179216
48,3,0.15113256844272457
49,0,0.5603164284776366
49,1,0.14502307049748395
49,2,0.16941331298781934
49,3,0.1252471880370601
50,0,0.6069023678756647
50,1,0.14421997903301337
50,2,0.11980919406380108
50,3,0.1290684590275209
51,0,0.5823742355845584
51,1,0.1410720171091641
51,2,0.13120682190053987
51,3,0.14534692540573765
52,0,0.5938684040253581
52,1,0.1811918820886794
52,2,0.08577333933843452
52,3,0.13916637454752798
53,0,0.5898213685352299
53,1,0.13683854447537094
53,2,0.09908998813780921
53,3,0.17425009885158985
54,0,0.511620299821856
54,1,0.16006546753065484
54,2,0.16333878656512663
54,3,0.16497544608236253
55,0,0.6110935082712283
55,1,0.12551505009404482
55,2,0.15087163008848503
55,3,0.11251981154624181
56,0,0.5641661461995482
56,1,0.1438313746159489
56,2,0.1429014285939283
56,3,0.1491010505905746
57,0,0.6052185614036006
57,1,0.12470349285859016
57,2,0.14537445287921902
57,3,0.12470349285859016
58,0,0.5776108587329805
58,1,0.15486408914390878
58,2,0.14628041258214652
58,3,0.12124463954096418
59,0,0.626971347053037
59,1,0.15545542817360117
59,2,0.12648857943240752
59,3,0.0910846453409543
60,0,0.58790481595973
60,1,0.1592861850034532
60,2,0.11235955512747411
60,3,0.14044944390934264
61,0,0.5926910444994965
61,1,0.15016610586080248
61,2,0.10631229553358905
61,3,0.15083055410611196
62,0,0.5926910444994965
62,1,0.15016610586080248
62,2,0.10631229553358905
62,3,0.15083055410611196
63,0,0.5926910444994965
63,1,0.15016610586080248
63,2,0.10631229553358905
63,3,0.15083055410611196
64,0,0.5926910444994965
64,1,0.15016610586080248
64,2,0.10631229553358905
64,3,0.15083055410611196
65,0,0.5926910444994965
65,1,0.15016610586080248
65,2,0.10631229553358905
65,3,0.15083055410611196
66,0,0.5967008090411714
66,1,0.1521615499941841
66,2,0.12428895449140132
66,3,0.12684868647324313
67,0,0.5967008090411714
67,1,0.1521615499941841
67,2,0.12428895449140132
67,3,0.12684868647324313
68,0,0.5967008090411714
68,1,0.1521615499941841
68,2,0.12428895449140132
68,3,0.12684868647324313
69,0,0.5967008090411714
69,1,0.1521615499941841
69,2,0.12428895449140132
69,3,0.12684868647324313
70,0,0.5967008090411714
70,1,0.1521615499941841
70,2,0.12428895449140132
70,3,0.12684868647324313
71,0,0.5967008090411714
71,1,0.1521615499941841
71,2,0.12428895449140132
71,3,0.12684868647324313
72,0,0.5908183684055165
72,1,0.12741182829406178
72,2,0.11842981834698889
72,3,0.16333998495343285
73,0,0.5908183684055165
73,1,0.12741182829406178
73,2,0.11842981834698889
73,3,0.16333998495343285
74,0,0.5559655739400418
74,1,0.16820418271867058
74,2,0.1288437861914062
74,3,0.14698645714988143
75,0,0.5982735758333217
75,1,0.16832668429624853
75,2,0.08466135837183598
75,3,0.14873838149859378
76,0,0.6034669636810869
76,1,0.17334777171346816
76,2,0.09534127523537071
76,3,0.1278439893700742
77,0,0.6034669636810869
77,1,0.17334777171346816
77,2,0.09534127523537071
77,3,0.1278439893700742
78,0,0.6191446101375564
78,1,0.13747452493247392
78,2,0.12797013350187522
78,3,0.11541073142809442
79,0,0.6191446101375564
79,1,0.13747452493247392
79,2,0.12797013350187522
79,3,0.11541073142809442
80,0,0.6191446101375564
80,1,0.13747452493247392
80,2,0.12797013350187522
80,3,0.11541073142809442
81,0,0.6191446101375564
81,1,0.13747452493247392
81,2,0.12797013350187522
81,3,0.11541073142809442
82,0,0.6191446101375564
82,1,0.13747452493247392
82,2,0.12797013350187522
82,3,0.11541073142809442
83,0,0.6191446101375564
83,1,0.13747452493247392
83,2,0.12797013350187522
83,3,0.11541073142809442
84,0,0.6191446101375564
84,1,0.13747452493247392
84,2,0.12797013350187522
84,3,0.11541073142809442
85,0,0.6191446101375564
85,1,0.13747452493247392
85,2,0.12797013350187522
85,3,0.11541073142809442
86,0,0.6191446101375564
86,1,0.13747452493247392
86,2,0.12797013350187522
86,3,0.11541073142809442
87,0,0.6191446101375564
87,1,0.13747452493247392
87,2,0.12797013350187522
87,3,0.11541073142809442
88,0,0.6191446101375564
88,1,0.13747452493247392
88,2,0.12797013350187522
88,3,0.11541073142809442
89,0,0.6245744366148799
89,1,0.15134633496665278
89,2,0.07985144161854181
89,3,0.14422778679992548
90,0,0.579610521164081
90,1,0.1641848012024908
90,2,0.12638412232987087
90,3,0.12982055530355738
91,0,0.5825771431659966
91,1,0.15033272925257835
91,2,0.12068964166017815
91,3,0.14640048592124694
92,0,0.5825771431659966
92,1,0.15033272925257835
92,2,0.12068964166017815
92,3,0.14640048592124694
93,0,0.5825771431659966
93,1,0.15033272925257835
93,2,0.12068964166017815
93,3,0.14640048592124694
94,0,0.5825771431659966
94,1,0.15033272925257835
94,2,0.12068964166017815
94,3,0.14640048592124694
95,0,0.5977763421460306
95,1,0.14682798199421582
95,2,0.09810333713823455
95,3,0.15729233872151901
96,0,0.5977763421460306
96,1,0.14682798199421582
96,2,0.09810333713823455
96,3,0.15729233872151901
97,0,0.5977763421460306
97,1,0.14682798199421582
97,2,0.09810333713823455
97,3,0.15729233872151901
98,0,0.599331605689461
98,1,0.19940587353583583
98,2,0.08837726141751952
98,3,0.11288525935718362
99,0,0.6050123445239015
99,1,0.14260500595811576
99,2,0.12672079984615578
99,3,0.12566184967182698
