sex,bin,count,probability,mean,median,std,pct_gt_20
f,0,1519,0.05790195928947168,6.161203018983,5.0,5.3665989179131675,2.679728596477853
f,1,2712,0.10337729663795076,6.161203018983,5.0,5.3665989179131675,2.679728596477853
f,2,2841,0.1082945795532515,6.161203018983,5.0,5.3665989179131675,2.679728596477853
f,3,2744,0.10459708774872303,6.161203018983,5.0,5.3665989179131675,2.679728596477853
f,4,2505,0.09548677289014257,6.161203018983,5.0,5.3665989179131675,2.679728596477853
f,5,2203,0.08397499428222917,6.161203018983,5.0,5.3665989179131675,2.679728596477853
f,6,1985,0.07566516734009301,6.161203018983,5.0,5.3665989179131675,2.679728596477853
f,7,1685,0.06422962567660288,6.161203018983,5.0,5.3665989179131675,2.679728596477853
f,8,1424,0.05428070442936647,6.161203018983,5.0,5.3665989179131675,2.679728596477853
f,9,1230,0.04688572082030952,6.161203018983,5.0,5.3665989179131675,2.679728596477853
f,10,999,0.038080353739422125,6.161203018983,5.0,5.3665989179131675,2.679728596477853
f,11,823,0.03137150263017458,6.161203018983,5.0,5.3665989179131675,2.679728596477853
f,12,713,0.02717847068689487,6.161203018983,5.0,5.3665989179131675,2.679728596477853
f,13,544,0.020736448883128766,6.161203018983,5.0,5.3665989179131675,2.679728596477853
f,14,418,0.015933521384462912,6.161203018983,5.0,5.3665989179131675,2.679728596477853
f,15,368,0.014027597773881222,6.161203018983,5.0,5.3665989179131675,2.679728596477853
f,16,272,0.010368224441564383,6.161203018983,5.0,5.3665989179131675,2.679728596477853
f,17,222,0.008462300830982695,6.161203018983,5.0,5.3665989179131675,2.679728596477853
f,18,178,0.006785088053670809,6.161203018983,5.0,5.3665989179131675,2.679728596477853
f,19,146,0.005565296942898528,6.161203018983,5.0,5.3665989179131675,2.679728596477853
f,20,703,0.026797285964778532,6.161203018983,5.0,5.3665989179131675,2.679728596477853
m,0,2083,0.08485416327195698,6.230487208733909,5.0,5.2868040926415985,2.2242137852370867
m,1,2535,0.1032670686002933,6.230487208733909,5.0,5.2868040926415985,2.2242137852370867
m,2,2398,0.09768616587909403,6.230487208733909,5.0,5.2868040926415985,2.2242137852370867
m,3,2335,0.09511976535766661,6.230487208733909,5.0,5.2868040926415985,2.2242137852370867
m,4,2147,0.08746130030959752,6.230487208733909,5.0,5.2868040926415985,2.2242137852370867
m,5,1939,0.07898810493726577,6.230487208733909,5.0,5.2868040926415985,2.2242137852370867
m,6,1711,0.06970017924067133,6.230487208733909,5.0,5.2868040926415985,2.2242137852370867
m,7,1432,0.05833469121720711,6.230487208733909,5.0,5.2868040926415985,2.2242137852370867
m,8,1240,0.050513280104285484,6.230487208733909,5.0,5.2868040926415985,2.2242137852370867
m,9,1063,0.04330291673456086,6.230487208733909,5.0,5.2868040926415985,2.2242137852370867
m,10,867,0.035318559556786706,6.230487208733909,5.0,5.2868040926415985,2.2242137852370867
m,11,742,0.03022649503014502,6.230487208733909,5.0,5.2868040926415985,2.2242137852370867
m,12,695,0.02831187876812775,6.230487208733909,5.0,5.2868040926415985,2.2242137852370867
m,13,623,0.02537884960078214,6.230487208733909,5.0,5.2868040926415985,2.2242137852370867
m,14,528,0.021508880560534464,6.230487208733909,5.0,5.2868040926415985,2.2242137852370867
m,15,469,0.01910542610395959,6.230487208733909,5.0,5.2868040926415985,2.2242137852370867
m,16,365,0.01486882841779371,6.230487208733909,5.0,5.2868040926415985,2.2242137852370867
m,17,359,0.01462440932051491,6.230487208733909,5.0,5.2868040926415985,2.2242137852370867
m,18,279,0.011365488023464234,6.230487208733909,5.0,5.2868040926415985,2.2242137852370867
m,19,192,0.007821411112921624,6.230487208733909,5.0,5.2868040926415985,2.2242137852370867
m,20,546,0.022242137852370867,6.230487208733909,5.0,5.2868040926415985,2.2242137852370867
