x,density
-15.0,2.154492917564816e-12
-14.832775919732441,6.633067858051881e-12
-14.665551839464882,1.979117097583635e-11
-14.498327759197325,5.724579438175028e-11
-14.331103678929766,1.605663234133962e-10
-14.163879598662207,4.368387514263053e-10
-13.996655518394649,1.1530571314828776e-09
-13.82943143812709,2.953504665833695e-09
-13.662207357859533,7.3427731188629155e-09
-13.494983277591974,1.7720608923151432e-08
-13.327759197324415,4.15177952251873e-08
-13.160535117056856,9.44382835592636e-08
-12.993311036789297,2.0855550373186836e-07
-12.826086956521738,4.4713511987777156e-07
-12.65886287625418,9.306108982275791e-07
-12.491638795986622,1.8800392608464111e-06
-12.324414715719064,3.686254982464203e-06
-12.157190635451505,7.014099199631831e-06
-11.989966555183948,1.2950267230967018e-05
-11.822742474916389,2.3198925693554688e-05
-11.65551839464883,4.0319710863843346e-05
-11.488294314381271,6.798731748494644e-05
-11.321070234113712,0.000111231819003789
-11.153846153846153,0.00017659823355025567
-10.986622073578594,0.0002721498952610148
-10.819397993311036,0.00040724199418781977
-10.652173913043478,0.0005920170701929317
-10.48494983277592,0.0008366255873048251
-10.31772575250836,0.0011502448216459723
-10.150501672240804,0.0015400405141602414
-9.983277591973245,0.002010263672413021
-9.816053511705686,0.00256167698985
-9.648829431438127,0.0031914514037872464
-9.481605351170568,0.0038935729972601994
-9.31438127090301,0.004659682774722615
-9.14715719063545,0.0054801751537484145
-8.979933110367893,0.0063453370994170305
-8.812709030100335,0.007246329820198376
-8.645484949832776,0.008175884720596488
-8.478260869565219,0.009128673203835739
-8.31103678929766,0.010101382587425843
-8.143812709030101,0.01109256785176485
-7.976588628762542,0.012102350784232446
-7.809364548494983,0.013132018797650831
-7.642140468227424,0.01418355380372692
-7.474916387959866,0.015259109984887857
-7.3076923076923075,0.016360462041462343
-7.1404682274247495,0.017488459165867287
-6.973244147157191,0.01864253734684712
-6.806020066889632,0.01982035457646609
-6.638795986622073,0.02101761107986548
-6.471571906354516,0.0222280944400456
-6.304347826086957,0.023443950693308856
-6.137123745819398,0.024656140840116247
-5.969899665551839,0.025855016290115183
-5.80267558528428,0.027030948007808395
-5.6354515050167215,0.028174966975057458
-5.4682274247491645,0.02927939671518014
-5.301003344481606,0.030338459275348666
-5.133779264214047,0.03134880809233351
-4.966555183946488,0.03230990257175585
-4.799331103678929,0.03322412175280593
-4.632107023411372,0.034096541814241266
-4.464882943143813,0.03493437289251092
-4.297658862876254,0.03574613822092071
