age,val,year
15,0.2015461071231364,1985.0
20,0.5341935483870968,1985.0
25,0.7788605697151424,1985.0
30,0.8888888888888888,1985.0
35,0.9227600411946447,1985.0
40,0.8620689655172413,1985.0
45,0.8274398868458275,1985.0
15,0.21025878003696857,1990.0
20,0.5601355166572558,1990.0
25,0.7874172185430464,1990.0
30,0.8963650425367363,1990.0
35,0.8876712328767123,1990.0
40,0.8825431034482759,1990.0
45,0.7876884422110553,1990.0
15,0.20675265553869498,1995.0
20,0.5465721040189125,1995.0
25,0.7766203703703703,1995.0
30,0.8935879945429741,1995.0
35,0.9019292604501608,1995.0
40,0.8734419942473634,1995.0
45,0.8483466362599772,1995.0
15,0.21535893155258765,2000.0
20,0.5688715953307393,2000.0
25,0.781827016520894,2000.0
30,0.8916816277678037,2000.0
35,0.8829407566024269,2000.0
40,0.8445945945945946,2000.0
45,0.8404040404040404,2000.0
15,0.2049079754601227,2005.0
20,0.5599038791623756,2005.0
25,0.7839357429718875,2005.0
30,0.8977329974811084,2005.0
35,0.9018136335209506,2005.0
40,0.8689138576779026,2005.0
45,0.8316920322291853,2005.0
15,0.20611520611520612,2010.0
20,0.5663297536323436,2010.0
25,0.7862460120524637,2010.0
30,0.8943191311612364,2010.0
35,0.9236440231700895,2010.0
40,0.8686802363755746,2010.0
45,0.8347826086956521,2010.0
15,0.20061509344688905,2015.0
20,0.5751121076233184,2015.0
25,0.7972050698732531,2015.0
30,0.8933431408606105,2015.0
35,0.9072703526338702,2015.0
40,0.8971807628524047,2015.0
45,0.8631944444444445,2015.0
15,0.2111665004985045,2020.0
20,0.5457643622200584,2020.0
25,0.8072463768115942,2020.0
30,0.8962837837837838,2020.0
35,0.9035728006146754,2020.0
40,0.8704379562043796,2020.0
45,0.8547257876312718,2020.0
